,GEOID,7/1/15,8/1/15,9/1/15,10/1/15,11/1/15,12/1/15,1/1/16,2/1/16,3/1/16,4/1/16,5/1/16,6/1/16
1098,36047152200,1180.527109,1389.673991,1477.514999,1819.420128,2037.762823,2424.003728,2362.413092,2944.351843,3138.123499,3426.041304,3975.249686,3767.750318
1099,36061000201,1541.785964,1741.183901,1961.568112,2154.899749,2052.464936,2192.614457,2113.493462,2345.962323,2514.726144,2710.455568,2895.078772,2895.801368
1100,36061000202,4756.371275,5335.624321,6018.650155,6579.00213,6270.285642,6720.423978,6428.125102,7148.187518,7667.624124,8271.888976,8802.488638,8807.824824
1101,36061000500,828.4441767,655.3882077,729.4311833,960.9369035,883.7163791,966.9436094,973.4368019,1021.564296,1030.803069,1196.915531,1319.542365,1300.392206
1102,36061000600,3593.043524,4015.772694,4531.407675,4943.276853,4714.081822,5060.762527,4824.496675,5370.231491,5761.04507,6213.850904,6605.727729,6606.265806
1103,36061000700,20478.07488,25167.08689,27152.00256,30684.02249,27576.78861,28724.68221,27680.11116,31341.82157,31980.38725,33419.59141,33874.13714,35618.35109
1104,36061000800,4483.763727,4583.98681,4944.505432,5578.635927,5281.055733,5667.984147,5292.039126,6323.907375,6358.276846,6332.771514,6899.488166,6747.710835
1105,36061000900,14928.78255,18110.37146,18986.50537,21769.9052,19507.13268,21376.4189,20153.3302,23088.3645,23501.15492,23769.17245,25325.10018,26695.25227
1106,36061001001,1312.025649,1474.734846,1654.551748,1812.20712,1729.489176,1855.190046,1787.117752,1994.09584,2124.436639,2292.878763,2426.570696,2430.086798
1107,36061001002,3074.840853,3443.646503,3876.787492,4231.338952,4036.236511,4333.800107,4140.330145,4613.507986,4936.189204,5326.106893,5647.171118,5652.863999
1108,36061001200,1746.336158,1948.803738,2200.460283,2396.363651,2285.965539,2456.635053,2336.774246,2601.388716,2792.432862,3013.911082,3200.266506,3200.863252
1109,36061001300,16930.33531,20362.38536,21204.44755,24022.52842,22917.4197,23695.21753,20831.46138,24385.68257,26179.54554,27014.34066,28615.40252,30670.53276
1110,36061001401,1354.29226,1511.303476,1706.458522,1858.396056,1772.782288,1905.129953,1812.196439,2017.411743,2165.541184,2337.293311,2481.804379,2482.261214
1111,36061001402,1678.162363,1872.210102,2113.15243,2303.466961,2197.456303,2360.338438,2248.07194,2503.191901,2682.780841,2894.802389,3072.590942,3072.258551
1112,36061001501,10942.94753,12663.0375,14961.87656,16451.5749,15338.78791,15939.97177,14922.2199,17796.19335,18340.76267,19159.41105,19729.49441,19641.59399
1113,36061001502,16954.02564,20815.60449,22459.57581,25390.88204,22831.31422,23788.16607,22922.52466,25946.69176,26480.4793,27691.91603,28076.99592,29508.2329
1114,36061001600,19429.22351,21329.2267,23523.05531,27101.84533,25926.30119,27060.84368,27707.1408,31220.57281,30628.50458,32538.93865,33735.16318,33125.68702
1115,36061001800,20859.73357,22901.54396,25257.74812,29101.141,27839.15227,29056.56678,29753.23925,33524.22353,32887.59314,34941.24117,36223.94799,35569.62986
1116,36061002000,3518.540766,4359.972658,4550.184025,5173.616324,4883.691281,5122.678104,5156.914987,5848.167751,5820.970515,6161.263309,6299.737312,6512.09609
